Huge Problems 2 (Alg2 only) (problems without solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
75000,25000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
679047,100780,163742,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1585418,100832,164074,-1,-1,-1,-1,-1,-1,-1,[-1=1]
961081,100797,164213,-1,-1,-1,-1,-1,-1,-1,[-1=1]
578111,100824,164355,-1,-1,-1,-1,-1,-1,-1,[-1=1]
488001,100668,163974,-1,-1,-1,-1,-1,-1,-1,[-1=1]
220595,100912,164393,-1,-1,-1,-1,-1,-1,-1,[-1=1]
242830,100654,163867,-1,-1,-1,-1,-1,-1,-1,[-1=1]
763891,100529,163749,-1,-1,-1,-1,-1,-1,-1,[-1=1]
513746,100747,164446,-1,-1,-1,-1,-1,-1,-1,[-1=1]
95084,100934,164279,-1,-1,-1,-1,-1,-1,-1,[-1=1]
284082,100733,163911,-1,-1,-1,-1,-1,-1,-1,[-1=1]
41252,100887,164336,-1,-1,-1,-1,-1,-1,-1,[-1=1]
