Large Problem (10-210V), C = 0.75 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
100,75,440487,139147,889358,197609,16,1
163,122,753311,140495,1466669,121420,4,1
226,169,965897,278403,1874746,375216,10,1
289,216,1530003,344915,2767385,406878,2,1
352,264,1658328,308540,3075181,536725,3,1
415,311,2116762,885035,3850689,1368439,4,1
478,358,2543092,1050989,4526427,1436835,11,1
541,405,2945202,1006322,5361307,1507806,5,1
604,453,3888473,1391162,6847447,2122172,15,1
667,500,4111699,1495019,7356059,2996284,5,1
730,547,4332267,1455828,7433482,1905807,4,1
793,594,4935830,2003120,8666404,2511881,9,1
856,642,5577191,2023573,9713278,2902256,2,1
919,689,6307028,3008253,10763350,4451467,5,1
982,736,6907532,3201378,11670591,4417879,4,1
1045,783,6445991,1649765,11722688,3187064,5,1
1108,831,8373470,3684452,14243972,5632982,2,1
1171,878,8860292,3105643,15749754,5375407,7,1
1234,925,10056870,4503650,17072827,8897185,5,1
1297,972,10501713,6048608,18001046,7366249,6,1
1360,1020,11051646,5888314,17905892,6967247,9,1
1423,1067,12868564,4639323,20570547,6305533,5,1
1486,1114,10538792,1753146,17674633,1775766,10,1
1549,1161,10749632,1944102,18014054,1954903,4,1
1612,1209,11659223,734477,19450487,1557518,6,1
1675,1256,13044680,4558905,21611246,5289174,4,1
1738,1303,16944922,13390305,26720480,16846237,6,1
1801,1350,13355221,2187533,22731089,3060985,8,1
1864,1398,14340777,1380176,23545581,1681098,6,1
1927,1445,15032196,1366987,24694735,1543086,3,1
1990,1492,15604405,3322619,25643670,3246504,7,1
