Small Problem, C = 5V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,50,0,0,0,0,-1,-1
16,80,0,0,0,0,-1,-1
22,110,0,0,0,0,-1,-1
28,140,0,0,0,0,-1,-1
34,170,0,0,0,0,-1,-1
40,200,0,0,0,0,-1,-1
46,230,0,0,0,0,-1,-1
52,260,0,0,0,0,-1,-1
58,290,0,0,0,0,-1,-1
64,320,0,0,0,0,-1,-1
70,350,0,0,0,0,-1,-1
76,380,0,0,0,0,-1,-1
82,410,0,0,0,0,-1,-1
88,440,0,0,0,0,-1,-1
94,470,0,0,0,0,-1,-1
100,500,0,0,0,0,-1,-1
106,530,0,0,0,0,-1,-1
112,560,0,0,0,0,-1,-1
118,590,0,0,0,0,-1,-1
124,620,0,0,0,0,-1,-1
130,650,0,0,0,0,-1,-1
136,680,0,0,0,0,-1,-1
142,710,0,0,0,0,-1,-1
148,740,0,0,0,0,-1,-1
154,770,0,0,0,0,-1,-1
160,800,0,0,0,0,-1,-1
166,830,0,0,0,0,-1,-1
172,860,0,0,0,0,-1,-1
178,890,0,0,0,0,-1,-1
184,920,0,0,0,0,-1,-1
190,950,0,0,0,0,-1,-1
196,980,0,0,0,0,-1,-1
202,1010,0,0,0,0,-1,-1
208,1040,0,0,0,0,-1,-1
