Small Problem (10-210V), C = 0.5 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,5,360,439,360,603,-1,-1
16,8,436,414,326,496,-1,-1
22,11,33264,140965,21479,102417,3,1
28,14,42288,355445,15082,123642,3,1
34,17,38661,295890,30982,237192,2,1
40,20,453,435,550,646,-1,-1
46,23,22202,293915,16436,215802,2,1
52,26,34473,422099,20925,255018,2,1
58,29,48745,470587,46988,425643,5,1
64,32,69990,796250,29691,332925,2,1
70,35,40209,414101,35687,367601,2,1
76,38,66142,684236,38985,400043,2,1
82,41,251042,1957480,52922,407562,3,1
88,44,80687,356602,34345,149355,-1,-1
94,47,301556,2328804,86448,664407,4,1
100,50,524031,5486018,52205,536534,5,1
106,53,251863,1690037,104574,582970,3,1
112,56,668,722,755,740,-1,-1
118,59,174072,1008078,85296,534009,2,1
124,62,941,689,583,585,-1,-1
130,65,693152,5184448,152835,914493,2,1
136,68,362874,1981154,128288,694019,2,1
142,71,1101678,6907946,84373,413575,-1,-1
148,74,108931,1452965,16439,203362,-1,-1
154,77,628464,3811145,253395,1317676,4,1
160,80,268651,2052263,58216,408128,-1,-1
166,83,726514,5325254,157236,1102516,3,1
172,86,315091,2034763,134117,863825,2,1
178,89,2290485,11830710,505223,1702701,2,1
184,92,160853,1671439,89625,923186,3,1
190,95,152101,1430962,105964,992032,4,1
196,98,802033,4342977,285919,1375520,6,1
202,101,545162,2654592,288522,1391088,2,1
208,104,1169,414,2242,1041,-1,-1
