Small Problem (10-210V), C = 0.75 * V (problems without solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,7,110079,703219,45358,277215,2,1
16,12,328457,4420631,17648,229422,4,1
22,16,356803,5315124,47807,502337,3,1
28,21,236934,1764253,115244,730954,2,1
34,25,1128745,13753333,51885,449846,7,1
40,30,847861,11904624,70827,625588,6,1
46,34,741721,8036517,91609,772698,4,1
52,39,22303,394588,20855,372026,3,1
58,43,616152,7779753,92954,639753,4,1
64,48,601547,6098967,123267,792912,8,1
70,52,91593,1332222,45543,603097,4,1
76,57,80412,1153533,34497,488188,4,1
82,61,1353058,10222217,224781,1287444,9,1
88,66,489290,6013545,102066,959029,4,1
94,70,693492,6397959,183522,1332719,6,1
100,75,1819320,13074015,235219,1284592,6,1
106,79,2025860,14277680,204586,986044,6,1
112,84,5205981,87825449,121450,1106266,5,1
118,88,232058,3115569,53865,714047,4,1
124,93,3790528,44770024,151232,1313573,5,1
130,97,2847534,39561818,175061,1733839,11,1
136,102,1110241,7899323,196617,1350143,8,1
142,106,654335,4151375,221316,1386465,4,1
148,111,1949960,22272466,229972,1984723,10,1
154,115,4246400,32877735,127674,1157774,4,1
160,120,1816266,16525639,274201,2144133,5,1
166,124,651608,7370250,211919,1756823,11,1
172,129,2921699,36231568,204374,1810478,3,1
178,133,6581267,70821975,228420,2154440,4,1
184,138,1214818,11480879,278710,2206163,6,1
190,142,10119773,96150514,324117,1954188,16,1
196,147,3664475,35697778,278553,2105437,6,1
202,151,6581968,51995201,480367,2654579,6,1
208,156,1061965,16413954,96684,1468655,5,1
