Small Problem (10-210V), C = 0.75 * V (problems with solution only)
VariableCount,ConstraintCount,ResultMeanAlg1,ResultStdDevAlg1,ResultMeanAlg2,ResultStdDevAlg2,MaxAllComponentSizes,MeanAllComponentSizes
10,7,40174,19517,88786,23607,2,1
16,12,60055,17662,133476,51791,4,1
22,16,79051,14193,178290,21693,4,1
28,21,103646,22810,222838,29526,3,1
34,25,125244,25896,267113,54751,2,1
40,30,148389,41433,315328,45846,2,1
46,34,170493,48764,363904,63103,2,1
52,39,185676,43311,402984,59931,3,1
58,43,207959,48405,447736,71188,4,1
64,48,239005,80735,492619,61370,3,1
70,52,242335,47164,527497,86696,4,1
76,57,277572,59309,584492,70734,3,1
82,61,305551,41119,640495,70784,7,1
88,66,323683,51748,679673,80273,4,1
94,70,344283,86501,722481,96800,4,1
100,75,367414,91587,772180,70399,2,1
106,79,389594,76175,813397,98951,2,1
112,84,434753,95909,885199,84147,6,1
118,88,431180,64314,890697,107680,4,1
124,93,463535,86212,943471,112044,3,1
130,97,505418,89462,1012845,87583,9,1
136,102,531705,78179,1067372,113817,5,1
142,106,532207,75532,1087147,115048,2,1
148,111,557941,109756,1134985,146444,4,1
154,115,613341,100841,1212322,103302,3,1
160,120,625904,145381,1256760,84024,2,1
166,124,654659,128239,1305180,119504,13,1
172,129,680251,119667,1360915,123186,5,1
178,133,729563,148511,1396249,162757,7,1
184,138,726082,96993,1449531,178219,3,1
190,142,760754,146250,1479898,128187,7,1
196,147,810454,183180,1552042,135606,2,1
202,151,818125,142525,1606610,186278,4,1
208,156,839958,149845,1633069,194462,7,1
